config,split,xgb_auc,fit_seconds,blend_auc
current,2016_may_aug,0.9180877650750048,2.188611833000323,0.9205422492390392
current,2016_sep_dec,0.9162282338567772,2.5449101669946685,0.9186358246081121
current,2017_jan_apr,0.9152483955679778,3.1941574169977685,0.9161252778858815
depth_4,2016_may_aug,0.9183350556370378,1.710875708005915,0.9217546418042157
depth_4,2016_sep_dec,0.916596454001996,2.2167842499984545,0.9197990245543223
depth_4,2017_jan_apr,0.912260652837356,2.6214676249946933,0.9156784462332317
depth_5,2016_may_aug,0.9201477142173704,2.023352917000011,0.921627620669442
depth_5,2016_sep_dec,0.9183696441179986,2.9299878340025316,0.9195641606934866
depth_5,2017_jan_apr,0.9143406925737648,3.0585344579958473,0.9159712805214052
depth_7,2016_may_aug,0.9183275937813233,2.302579750001314,0.920538581906543
depth_7,2016_sep_dec,0.9143520050808516,2.962381541998184,0.9176403706012516
depth_7,2017_jan_apr,0.9145996014000553,3.493699667000328,0.9158111796028492
child_10,2016_may_aug,0.9182311514160609,2.055217833003553,0.9209119184744778
child_10,2016_sep_dec,0.9168405912336373,2.601220500000636,0.9188073385330231
child_10,2017_jan_apr,0.914932373832419,3.1834068750031292,0.9160434175637933
lambda_3,2016_may_aug,0.9196137675647209,2.117945915997552,0.9210716912202702
lambda_3,2016_sep_dec,0.9158342024675247,2.7105246249993797,0.9184315064054451
lambda_3,2017_jan_apr,0.9147625041982759,3.4761460829977295,0.9159608757034081
regularized,2016_may_aug,0.9194203740713064,2.0916570000044885,0.9212043723421908
regularized,2016_sep_dec,0.9192548058212618,2.6490146670039394,0.9197830621947389
regularized,2017_jan_apr,0.9152545445579441,3.334222999998019,0.9161569164081467
regularized_subsample_08,2016_may_aug,0.9200092565168074,2.091342915999121,0.9215063973117648
regularized_subsample_08,2016_sep_dec,0.9218234209469244,3.4707775419956306,0.9203384437207596
regularized_subsample_08,2017_jan_apr,0.915923694002996,3.8912252500012983,0.9163786283887294
regularized_subsample_08_seed17,2016_may_aug,0.9205516507532703,2.1857705830043415,0.9214824430590454
regularized_subsample_08_seed17,2016_sep_dec,0.9183962371918896,2.9852055000010296,0.9193064826030696
regularized_subsample_08_seed17,2017_jan_apr,0.9147757108959375,3.4607491670030868,0.9159812461258334
regularized_subsample_08_seed73,2016_may_aug,0.9190928367626636,2.2817969169991557,0.9210631376441887
regularized_subsample_08_seed73,2016_sep_dec,0.9200318035355388,2.6945838750034454,0.9197744077725702
regularized_subsample_08_seed73,2017_jan_apr,0.9158475737478959,3.3205703330022516,0.9163546685312747
budget_1000_lr_002,2016_may_aug,0.9183604725830646,3.021317791994079,0.9206415109986481
budget_1000_lr_002,2016_sep_dec,0.9169761084088754,3.6768559160045697,0.9186251721763086
budget_1000_lr_002,2017_jan_apr,0.914918349288801,4.690209416003199,0.9159460181685388
budget_500_lr_004,2016_may_aug,0.9188384553178567,2.0878385420000996,0.9208143737896214
budget_500_lr_004,2016_sep_dec,0.916886317421532,2.653393082997354,0.9186865023851024
budget_500_lr_004,2017_jan_apr,0.9148290829172214,3.371695916997851,0.9160608649441903
subsample_08,2016_may_aug,0.9193933672412493,2.676405624995823,0.9208844028815312
subsample_08,2016_sep_dec,0.9183586442062585,3.2544623339999816,0.919006097056706
subsample_08,2017_jan_apr,0.9155511500246928,4.3708301250007935,0.9161671546278933
