ensemble,split,xgb_auc,blend_auc
seed42,2016_may_aug,0.9200092565168074,0.9215063973117648
seed42,2016_sep_dec,0.9218234209469244,0.9203384437207596
seed42,2017_jan_apr,0.915923694002996,0.9163786283887294
seed42_73,2016_may_aug,0.9198051578042574,0.921308170570899
seed42_73,2016_sep_dec,0.9214306708899378,0.9201291847877453
seed42_73,2017_jan_apr,0.9161097085221246,0.9163922591546647
seed42_17_73,2016_may_aug,0.9202962199850033,0.9214038603910537
seed42_17_73,2016_sep_dec,0.9207861173252107,0.9198960148916003
seed42_17_73,2017_jan_apr,0.9158252647276489,0.9162805474551784
