variant,lgbm,xgb,cat,mean,worst,recent,2016_may_aug,2016_sep_dec,2017_jan_apr
add_assigned_lab,0,1,1,0.9176250703134855,0.9147201125162175,0.9147201125162175,0.9209722068768971,0.9171828915473421,0.9147201125162175
add_assigned_lab,0,1,2,0.9170112038731492,0.9139592280164218,0.9139592280164218,0.92082665829356,0.9162477253094657,0.9139592280164218
add_assigned_lab,0,1,3,0.9164728760767097,0.9134062429877282,0.9134062429877282,0.9204728349022876,0.9155395503401134,0.9134062429877282
add_assigned_lab,0,1,4,0.916075294854962,0.913033290086447,0.913033290086447,0.9201596807445033,0.9150329137339359,0.913033290086447
add_assigned_lab,0,2,1,0.9176367064549912,0.9150502951030535,0.9150502951030535,0.9204880447928415,0.9173717794690784,0.9150502951030535
add_assigned_lab,0,2,2,0.9176250703134855,0.9147201125162175,0.9147201125162175,0.9209722068768971,0.9171828915473421,0.9147201125162175
add_assigned_lab,0,2,3,0.917331802581563,0.9143162329215591,0.9143162329215591,0.9209742419284555,0.9167049328946747,0.9143162329215591
add_assigned_lab,0,2,4,0.9170112038731492,0.9139592280164218,0.9139592280164218,0.92082665829356,0.9162477253094657,0.9139592280164218
add_assigned_lab,0,3,1,0.9174097339029824,0.915043737190109,0.915043737190109,0.9199895207563812,0.9171959437624572,0.915043737190109
add_assigned_lab,0,3,2,0.917711798969122,0.9149680712938735,0.9149680712938735,0.920768192958162,0.9173991326553306,0.9149680712938735
add_assigned_lab,0,3,3,0.9176249241264212,0.9147200519350356,0.9147200519350356,0.9209721220830822,0.9171825983611457,0.9147200519350356
add_assigned_lab,0,3,4,0.9174308981575713,0.914449920444792,0.914449920444792,0.920985275723624,0.9168574983042979,0.914449920444792
add_assigned_lab,0,4,1,0.9172099404712301,0.9149915616471684,0.9149915616471684,0.9196187598005751,0.917019499965947,0.9149915616471684
add_assigned_lab,0,4,2,0.9176367064549912,0.9150502951030535,0.9150502951030535,0.9204880447928415,0.9173717794690784,0.9150502951030535
add_assigned_lab,0,4,3,0.9177043597061562,0.9149034917539318,0.9149034917539318,0.9208546932486231,0.9173548941159138,0.9149034917539318
add_assigned_lab,0,4,4,0.9176250703134855,0.9147201125162175,0.9147201125162175,0.9209722068768971,0.9171828915473421,0.9147201125162175
