scope,observed_delta,ci_2_5,ci_5,ci_95,ci_97_5,probability_positive
2016_may_aug,0.0020754134143645686,0.0015740620341375023,0.0016515233039263943,0.0024781358088266925,0.0025527604605253187,1.0
2016_sep_dec,0.002485643432073248,0.0019098086397584563,0.0019964177424645346,0.003015208827623611,0.00311930214344748,1.0
2017_jan_apr,0.0007967788500916617,0.00029279074544905363,0.0003615409211345288,0.0011961928543769817,0.0012680951446848996,0.998
mean_across_windows,0.0017859452321764928,0.0014993463170945446,0.001532141318241433,0.0020370269665023937,0.0020892668117807192,1.0
