variant,lgbm_weight,xgb_weight,cat_weight,mean_auc,worst_auc,recent_auc,auc_2016_may_aug,auc_2016_sep_dec,auc_2017_jan_apr
uniform,3,3,2,0.9173140394904028,0.9154934464489007,0.9154934464489007,0.9190251289014376,0.9174235431208702,0.9154934464489007
uniform,3,3,3,0.9173886176917944,0.915617334965956,0.915617334965956,0.9190765775486498,0.9174719405607771,0.915617334965956
uniform,3,3,4,0.9173448968497708,0.9156513210090208,0.9156513210090208,0.919005976098489,0.9173773934418027,0.9156513210090208
uniform,3,4,0,0.9163595735112192,0.9145512121809856,0.9145512121809856,0.9183603983884766,0.9161671099641956,0.9145512121809856
uniform,3,4,1,0.9170079337936979,0.9151069082175708,0.9151069082175708,0.9189592229087788,0.9169576702547444,0.9151069082175708
uniform,3,4,2,0.9173047491444283,0.9154019688641805,0.9154019688641805,0.9192026871499128,0.9173095914191914,0.9154019688641805
uniform,3,4,3,0.9173968626135659,0.9155351868832533,0.9155351868832533,0.919261947427326,0.9173934535301181,0.9155351868832533
uniform,3,4,4,0.9173945853664877,0.9156130185567428,0.9156130185567428,0.9192152896306577,0.9173554479120626,0.9156130185567428
uniform,4,0,1,0.9156858702458233,0.9147669417698527,0.9147669417698527,0.915877412903397,0.91641325606422,0.9147669417698527
uniform,4,0,2,0.9163428878532796,0.9152495466104345,0.9152495466104345,0.9168443803704692,0.9169347365789349,0.9152495466104345
uniform,4,0,3,0.9165333934595697,0.9154351522065848,0.9154351522065848,0.9172012987359872,0.9169637294361374,0.9154351522065848
uniform,4,0,4,0.9165285724681734,0.9154674571218512,0.9154674571218512,0.9173108099479765,0.9168074503346926,0.9154674571218512
uniform,4,1,0,0.9152552055833901,0.9141413350493156,0.9141413350493156,0.9157947919299693,0.9158294897708856,0.9141413350493156
uniform,4,1,1,0.9163896135266856,0.915024245194822,0.915024245194822,0.9171927345606786,0.916951860824556,0.915024245194822
uniform,4,1,2,0.9168485509311447,0.9154152512883194,0.9154152512883194,0.9178014163619671,0.9173289851431479,0.9154152512883194
uniform,4,1,3,0.9169866259041571,0.9155709903617764,0.9155709903617764,0.9180216576970357,0.9173672296536597,0.9155709903617764
uniform,4,1,4,0.9169644214554601,0.9155944201338893,0.9155944201338893,0.9180669905903456,0.9172318536421457,0.9155944201338893
uniform,4,2,0,0.9158735959192136,0.9144100277364884,0.9144100277364884,0.9169671936121768,0.9162435664089755,0.9144100277364884
uniform,4,2,1,0.91672574745269,0.9151294141266593,0.9151294141266593,0.9179328255766638,0.9171150026547468,0.9151294141266593
uniform,4,2,2,0.9170948897774077,0.9154676843012834,0.9154676843012834,0.9183705842454959,0.9174464007854436,0.9154676843012834
uniform,4,2,3,0.9172148749241344,0.9156024471404955,0.9156024471404955,0.9185411682026925,0.9175010094292155,0.9156024471404955
uniform,4,2,4,0.9172077929538798,0.9156379628584044,0.9156379628584044,0.9185479411086604,0.9174374748945745,0.9156379628584044
uniform,4,3,0,0.9161581987657046,0.91452832763951,0.91452832763951,0.9176372131393442,0.9163090555182594,0.91452832763951
uniform,4,3,1,0.9168643129530029,0.9151189941633666,0.9151189941633666,0.9183741985818574,0.9170997461137844,0.9151189941633666
uniform,4,3,2,0.9171893276415245,0.9154318202415783,0.9154318202415783,0.9187118051560236,0.9174243575269715,0.9154318202415783
uniform,4,3,3,0.9173195875286915,0.9155896342205165,0.9155896342205165,0.918862504963618,0.9175066234019398,0.9155896342205165
uniform,4,3,4,0.9173367617893398,0.9156530021368195,0.9156530021368195,0.918868641915974,0.9174886413152256,0.9156530021368195
uniform,4,4,0,0.9162985814987423,0.9145735969277102,0.9145735969277102,0.9180402063440529,0.9162819412244637,0.9145735969277102
uniform,4,4,1,0.9169004677184486,0.9150720588926632,0.9150720588926632,0.9186425074107675,0.9169868368519152,0.9150720588926632
uniform,4,4,2,0.9172078264795465,0.9153646357108135,0.9153646357108135,0.9189278279987989,0.9173310157290269,0.9153646357108135
uniform,4,4,3,0.9173460045574356,0.9155375798399398,0.9155375798399398,0.919056248231519,0.9174441856008484,0.9155375798399398
uniform,4,4,4,0.9173885646088609,0.9156176984530474,0.9156176984530474,0.9190761959764826,0.9174717993970528,0.9156176984530474
half_life_720d,0,1,1,0.9174843586124451,0.9155499686916452,0.9155499686916452,0.9203189235289523,0.9165841836167379,0.9155499686916452
half_life_720d,0,1,2,0.9175141887370617,0.9152879550797806,0.9152879550797806,0.920535974496734,0.9167186366346706,0.9152879550797806
half_life_720d,0,1,3,0.9173043620074104,0.9149923189119425,0.9149923189119425,0.9204110202111994,0.916509746899089,0.9149923189119425
half_life_720d,0,1,4,0.9171226015280803,0.9147900232001694,0.9147900232001694,0.920262949011868,0.9163148323722039,0.9147900232001694
half_life_720d,0,2,1,0.9168635779271991,0.9153416300069741,0.9153416300069741,0.9194842344131797,0.9157648693614431,0.9153416300069741
half_life_720d,0,2,2,0.9174843586124451,0.9155499686916452,0.9155499686916452,0.9203189235289523,0.9165841836167379,0.9155499686916452
half_life_720d,0,2,3,0.9175529708471272,0.915423884106745,0.915423884106745,0.9205077699540409,0.9167272584805954,0.915423884106745
half_life_720d,0,2,4,0.9175141887370617,0.9152879550797806,0.9152879550797806,0.920535974496734,0.9167186366346706,0.9152879550797806
half_life_720d,0,3,1,0.9163556896408753,0.9150943830582059,0.9150943830582059,0.9188520117290196,0.9151206741354004,0.9150943830582059
half_life_720d,0,3,2,0.9171739498821365,0.9154774378715747,0.9154774378715747,0.9198775081268512,0.9161669036479835,0.9154774378715747
half_life_720d,0,3,3,0.9174842166811971,0.9155495749139626,0.9155495749139626,0.9203184571629703,0.9165846179666586,0.9155495749139626
half_life_720d,0,3,4,0.9175553134918567,0.9154756355814122,0.9154756355814122,0.920482342408787,0.9167079624853711,0.9154756355814122
half_life_720d,0,4,1,0.9159908774956608,0.9146513373286577,0.9149017954808378,0.9184194996774867,0.9146513373286577,0.9149017954808378
half_life_720d,0,4,2,0.9168635779271991,0.9153416300069741,0.9153416300069741,0.9194842344131797,0.9157648693614431,0.9153416300069741
half_life_720d,0,4,3,0.9172835352221046,0.9155146044266913,0.9155146044266913,0.9200367403120734,0.916299260927549,0.9155146044266913
half_life_720d,0,4,4,0.9174843586124451,0.9155499686916452,0.9155499686916452,0.9203189235289523,0.9165841836167379,0.9155499686916452
half_life_720d,1,0,1,0.9176049792569939,0.915490326518031,0.915490326518031,0.9194927031954465,0.9178319080575039,0.915490326518031
half_life_720d,1,0,2,0.9176405431489619,0.9152938920356102,0.9152938920356102,0.9200850303896793,0.9175427070215966,0.9152938920356102
half_life_720d,1,0,3,0.9174312407500517,0.915025032750187,0.915025032750187,0.9201414924711995,0.9171271970287685,0.915025032750187
half_life_720d,1,0,4,0.9172369368929557,0.9148249936874409,0.9148249936874409,0.9200831119296163,0.9168027050618098,0.9148249936874409
half_life_720d,1,1,0,0.9155944088024685,0.9144367743283122,0.9144367743283122,0.9168743019879146,0.9154721500911787,0.9144367743283122
half_life_720d,1,1,1,0.917698483909753,0.9157540212576945,0.9157540212576945,0.9197858884098132,0.9175555420617514,0.9157540212576945
half_life_720d,1,1,2,0.917991820677306,0.9157925508894045,0.9157925508894045,0.9204283499471269,0.9177545611953866,0.9157925508894045
half_life_720d,1,1,3,0.9179190668987554,0.915609853189987,0.915609853189987,0.92055922920048,0.917588118305799,0.915609853189987
half_life_720d,1,1,4,0.9177732032264322,0.9154084207600564,0.9154084207600564,0.9205446976604453,0.9173664912587948,0.9154084207600564
half_life_720d,1,2,0,0.915458268747832,0.9144413179169573,0.9144413179169573,0.9170772029878288,0.9148562853387097,0.9144413179169573
half_life_720d,1,2,1,0.9172501480474867,0.9155627513210333,0.9155627513210333,0.9193865731368277,0.9168011196845993,0.9155627513210333
half_life_720d,1,2,2,0.917786877232002,0.9158031828868338,0.9158031828868338,0.9202185170528417,0.9173389317563303,0.9158031828868338
half_life_720d,1,2,3,0.9179155854720061,0.915771302039841,0.915771302039841,0.9205108543290592,0.9174646000471183,0.915771302039841
half_life_720d,1,2,4,0.9178992162015666,0.9156640279119314,0.9156640279119314,0.9206072542974142,0.9174263663953542,0.9156640279119314
half_life_720d,1,3,0,0.9152725482406844,0.9143651825165617,0.9143651825165617,0.9170450449335146,0.9144074172719767,0.9143651825165617
half_life_720d,1,3,1,0.9168132144407335,0.9153282112751757,0.9153282112751757,0.9189624344745195,0.9161489975725051,0.9153282112751757
half_life_720d,1,3,2,0.917484501915724,0.9156888056153424,0.9156888056153424,0.9198865810650493,0.9168781190667801,0.9156888056153424
half_life_720d,1,3,3,0.9177448018353226,0.9157596098717278,0.9157596098717278,0.9203052929232015,0.9171695027110385,0.9157596098717278
half_life_720d,1,3,4,0.9178426126685301,0.9157326966816536,0.9157326966816536,0.9205211991744814,0.9172739421494553,0.9157326966816536
half_life_720d,1,4,0,0.9150943586209216,0.9140475475039821,0.914263300113844,0.9169722282449384,0.9140475475039821,0.914263300113844
half_life_720d,1,4,1,0.9164735862879744,0.9151485729254459,0.9151485729254459,0.9186278486800105,0.9156443372584667,0.9151485729254459
half_life_720d,1,4,2,0.9171711842085427,0.9155428049668815,0.9155428049668815,0.9195297474933464,0.9164410001654004,0.9155428049668815
half_life_720d,1,4,3,0.9175423145013587,0.9157003160399099,0.9157003160399099,0.9200670117040054,0.916859615760161,0.9157003160399099
half_life_720d,1,4,4,0.9177094798096143,0.9157293798619428,0.9157293798619428,0.9203463861257647,0.9170526734411354,0.9157293798619428
half_life_720d,2,0,1,0.916888125133401,0.9151232348461019,0.9151232348461019,0.9181519327944573,0.9173892077596439,0.9151232348461019
half_life_720d,2,0,2,0.9176049792569939,0.915490326518031,0.915490326518031,0.9194927031954465,0.9178319080575039,0.915490326518031
half_life_720d,2,0,3,0.917701763389854,0.9154349250271525,0.9154349250271525,0.9199321789390309,0.9177381862033787,0.9154349250271525
half_life_720d,2,0,4,0.9176405431489619,0.9152938920356102,0.9152938920356102,0.9200850303896793,0.9175427070215966,0.9152938920356102
half_life_720d,2,1,0,0.9153223760068924,0.9141635683430853,0.9141635683430853,0.9161495798508867,0.9156539798267049,0.9141635683430853
half_life_720d,2,1,1,0.9172241487108357,0.9154415435212788,0.9154415435212788,0.9188187937520187,0.9174121088592094,0.9154415435212788
half_life_720d,2,1,2,0.917827607440449,0.9157548996848325,0.9157548996848325,0.9198294830299171,0.9178984396065972,0.9157548996848325
half_life_720d,2,1,3,0.9179694573621721,0.915756141599062,0.915756141599062,0.9202245374137022,0.9179276930737519,0.915756141599062
half_life_720d,2,1,4,0.9179479588075576,0.9156529718462284,0.9156529718462284,0.9203852746891394,0.9178056298873052,0.9156529718462284
half_life_720d,2,2,0,0.9155944088024685,0.9144367743283122,0.9144367743283122,0.9168743019879146,0.9154721500911787,0.9144367743283122
half_life_720d,2,2,1,0.9170889379511471,0.9154315627715551,0.9154315627715551,0.9188592404017429,0.9169760106801433,0.9154315627715551
half_life_720d,2,2,2,0.917698483909753,0.9157540212576945,0.9157540212576945,0.9197858884098132,0.9175555420617514,0.9157540212576945
half_life_720d,2,2,3,0.9179347303391544,0.9158366994257389,0.9158366994257389,0.9202222797783796,0.9177452118133449,0.9158366994257389
half_life_720d,2,2,4,0.917991820677306,0.9157925508894045,0.9157925508894045,0.9204283499471269,0.9177545611953866,0.9157925508894045
half_life_720d,2,3,0,0.9155570542261823,0.91446270307418,0.91446270307418,0.9170507897144763,0.9151576698898906,0.91446270307418
half_life_720d,2,3,1,0.9168525090743725,0.9153158981499475,0.9153158981499475,0.9187149425271763,0.9165266865459938,0.9153158981499475
half_life_720d,2,3,2,0.9174895124385557,0.9156826717706716,0.9156826717706716,0.9196106619912486,0.9171752035537468,0.9156826717706716
half_life_720d,2,3,3,0.9177889020580631,0.9158177829516798,0.9158177829516798,0.9200917397002861,0.9174571835222234,0.9158177829516798
half_life_720d,2,3,4,0.9179203732263149,0.9158467559019399,0.9158467559019399,0.9203436303267792,0.9175707334502256,0.9158467559019399
half_life_720d,2,4,0,0.915458268747832,0.9144413179169573,0.9144413179169573,0.9170772029878288,0.9148562853387097,0.9144413179169573
half_life_720d,2,4,1,0.9166109722853103,0.9151892228985237,0.9151892228985237,0.9185299330222135,0.9161137609351937,0.9151892228985237
half_life_720d,2,4,2,0.9172501480474867,0.9155627513210333,0.9155627513210333,0.9193865731368277,0.9168011196845993,0.9155627513210333
half_life_720d,2,4,3,0.9175981813701904,0.9157345595529981,0.9157345595529981,0.9199099841579715,0.9171500003996019,0.9157345595529981
half_life_720d,2,4,4,0.917786877232002,0.9158031828868338,0.9158031828868338,0.9202185170528417,0.9173389317563303,0.9158031828868338
half_life_720d,3,0,1,0.9163054402117433,0.91475558279824,0.91475558279824,0.9172275106240291,0.9169332272129608,0.91475558279824
half_life_720d,3,0,2,0.9172572265590034,0.9153238797206674,0.9153238797206674,0.918781791851026,0.9176660081053171,0.9153238797206674
half_life_720d,3,0,3,0.9176049137472453,0.9154901902103718,0.9154901902103718,0.9194925018101361,0.917832049221228,0.9154901902103718
half_life_720d,3,0,4,0.9176946312010946,0.9154709708304032,0.9154709708304032,0.9198270558069644,0.9177858669659165,0.9154709708304032
half_life_720d,3,1,0,0.9150438031080785,0.9139255751698575,0.9139255751698575,0.9156353689586633,0.9155704651957146,0.9139255751698575
half_life_720d,3,1,1,0.9167628987910716,0.9151129511904686,0.9151129511904686,0.9180489825038984,0.917126762678848,0.9151129511904686
half_life_720d,3,1,2,0.9175017271978376,0.9155634328593301,0.9155634328593301,0.9191975359256556,0.9177442128085275,0.9155634328593301
half_life_720d,3,1,3,0.9178156146411172,0.9157068133716723,0.9157068133716723,0.9197886654072525,0.9179513651444267,0.9157068133716723
half_life_720d,3,1,4,0.9179196034691995,0.9157116750115225,0.9157116750115225,0.9200845640236972,0.9179625713723789,0.9157116750115225
half_life_720d,3,2,0,0.9154797368682176,0.9142968166527491,0.9142968166527491,0.9165080033066197,0.9156343906452842,0.9142968166527491
half_life_720d,3,2,1,0.9168137017188984,0.9152196649424453,0.9152196649424453,0.9183105820222018,0.916910858192048,0.9152196649424453
half_life_720d,3,2,2,0.917480897846049,0.915621787682828,0.915621787682828,0.91930114336828,0.917519762487039,0.915621787682828
half_life_720d,3,2,3,0.9178045202995637,0.915782918481477,0.915782918481477,0.9198328959809683,0.9177977464362459,0.915782918481477
half_life_720d,3,2,4,0.9179429353377015,0.9158045459634274,0.9158045459634274,0.9201416090626952,0.9178826509869821,0.9158045459634274
half_life_720d,3,3,0,0.9155944199430096,0.9144365168582889,0.9144365168582889,0.9168739522134282,0.9154727907573116,0.9144365168582889
half_life_720d,3,3,1,0.9167260740969656,0.9151993853917931,0.9151993853917931,0.918369450128221,0.9166093867708829,0.9151993853917931
half_life_720d,3,3,2,0.9173546369205493,0.915583288341709,0.915583288341709,0.9192480412416765,0.9172325811782628,0.915583288341709
half_life_720d,3,3,3,0.9176986055045062,0.9157545664883318,0.9157545664883318,0.9197857188221833,0.9175555312030035,0.9157545664883318
half_life_720d,3,3,4,0.9178838796300249,0.9158344579220074,0.9158344579220074,0.9200987033923376,0.9177184775757297,0.9158344579220074
half_life_720d,3,4,0,0.9155795156717698,0.9144614460146547,0.9144614460146547,0.9170156214797318,0.9152614795209224,0.9144614460146547
half_life_720d,3,4,1,0.9165887896646862,0.9151411971665455,0.9151411971665455,0.9183111755789065,0.9163139962486067,0.9151411971665455
half_life_720d,3,4,2,0.9171990625093559,0.9155137108542577,0.9155137108542577,0.919135753032248,0.916947723641562,0.9155137108542577
half_life_720d,3,4,3,0.9175568145950209,0.9156981502626558,0.9156981502626558,0.9196685549683962,0.9173037385540108,0.9156981502626558
half_life_720d,3,4,4,0.917774300188114,0.9158036675362893,0.9158036675362893,0.9200195483660953,0.9174996846619576,0.9158036675362893
half_life_720d,4,0,1,0.915877716374641,0.9144771213954802,0.9144771213954802,0.9165846357168675,0.9165713920115752,0.9144771213954802
half_life_720d,4,0,2,0.916888125133401,0.9151232348461019,0.9151232348461019,0.9181519327944573,0.9173892077596439,0.9151232348461019
half_life_720d,4,0,3,0.9173790260590406,0.9153886712947459,0.9153886712947459,0.9190104595714537,0.9177379473109222,0.9153886712947459
half_life_720d,4,0,4,0.9176049792569939,0.915490326518031,0.915490326518031,0.9194927031954465,0.9178319080575039,0.915490326518031
half_life_720d,4,1,0,0.9148287705573966,0.9137574926805816,0.9137574926805816,0.9152792985312947,0.9154495204603136,0.9137574926805816
half_life_720d,4,1,1,0.9163884059100248,0.9148462879728906,0.9148462879728906,0.9174527335957251,0.9168661961614586,0.9148462879728906
half_life_720d,4,1,2,0.9171746028834314,0.9153596680538949,0.9153596680538949,0.9186352893372711,0.9175288512591283,0.9153596680538949
half_life_720d,4,1,3,0.9175869869076716,0.9155791233854509,0.9155791233854509,0.9193331742318719,0.9178486631056921,0.9155791233854509
half_life_720d,4,1,4,0.9177855727695423,0.9156724638415157,0.9156724638415157,0.9197396651814465,0.9179445892856646,0.9156724638415157
half_life_720d,4,2,0,0.9153223760068924,0.9141635683430853,0.9141635683430853,0.9161495798508867,0.9156539798267049,0.9141635683430853
half_life_720d,4,2,1,0.9165491087666843,0.9150197621873587,0.9150197621873587,0.9178271936817077,0.9168003704309864,0.9150197621873587
half_life_720d,4,2,2,0.9172241487108357,0.9154415435212788,0.9154415435212788,0.9188187937520187,0.9174121088592094,0.9154415435212788
half_life_720d,4,2,3,0.9176195148261493,0.9156628920147701,0.9156628920147701,0.9194483666294619,0.9177472858342158,0.9156628920147701
